,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year_end,year_start
38,69.0,65.0,,BEL,p,,,female,0.021,,0.045,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
39,64.0,60.0,,BEL,p,,,female,0.013999999999999999,,0.013000000000000001,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
40,59.0,55.0,,BEL,p,,,female,0.034,,0.09699999999999999,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
41,54.0,50.0,,BEL,p,,,female,0.026000000000000002,,0.069,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
42,24.0,14.0,,DEU,r,,,male,0.000390846,,0.257,0.0,0.0,-2.417008553990027,-2.474034419008248,2002.0,1995.0
43,24.0,14.0,,DEU,r,,,female,0.000321983,,0.153,0.0,0.0,-2.417008553990027,-2.474034419008248,2002.0,1995.0
44,85.0,55.0,,NLD,r,,,male,0.000406686,,0.116,0.0,0.0,-2.399299111963239,-2.674651980826414,1999.0,1992.0
45,85.0,55.0,,NLD,r,,,female,0.000271483,,0.048,0.0,0.0,-2.399299111963239,-2.674651980826414,1999.0,1992.0
46,49.0,45.0,,BEL,p,,,female,0.018000000000000002,,0.032,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
47,44.0,40.0,,BEL,p,,,female,0.023,,0.051,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
48,39.0,35.0,,BEL,p,,,female,0.015,,0.068,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
49,34.0,30.0,,BEL,p,,,female,0.013000000000000001,,0.027000000000000003,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
50,29.0,25.0,,BEL,p,,,female,0.038,,0.09,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
51,24.0,20.0,,BEL,p,,,female,0.027999999999999997,,0.07200000000000001,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
52,84.0,80.0,,BEL,p,,,female,0.026000000000000002,,0.027000000000000003,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
53,79.0,75.0,,BEL,p,,,female,0.024,,0.044000000000000004,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
54,74.0,70.0,,BEL,p,,,female,0.02,,0.06,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
55,69.0,65.0,,BEL,p,,,female,0.025,,0.06,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
56,64.0,60.0,,BEL,p,,,female,0.017,,0.026000000000000002,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
57,59.0,55.0,,BEL,p,,,female,0.046,,0.16,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
58,54.0,50.0,,BEL,p,,,female,0.027999999999999997,,0.113,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
59,49.0,45.0,,BEL,p,,,female,0.024,,0.042,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
60,44.0,40.0,,BEL,p,,,female,0.028999999999999998,,0.091,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
61,39.0,35.0,,BEL,p,,,female,0.024,,0.105,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
62,34.0,30.0,,BEL,p,,,female,0.02,,0.05,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
63,29.0,25.0,,BEL,p,,,female,0.049,,0.128,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
64,24.0,20.0,,BEL,p,,,female,0.037000000000000005,,0.09300000000000001,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
65,84.0,80.0,,BEL,p,23.0,,male,-0.99,,0.0,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
66,79.0,75.0,,BEL,p,57.0,,male,-0.99,,0.0,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
67,74.0,70.0,,BEL,p,,,male,0.033,,0.057,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
68,69.0,65.0,,BEL,p,,,male,0.019,,0.027000000000000003,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
69,64.0,60.0,,BEL,p,,,male,0.013000000000000001,,0.016,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
70,59.0,55.0,,BEL,p,,,male,0.013000000000000001,,0.026000000000000002,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
71,54.0,50.0,,BEL,p,,,male,0.036000000000000004,,0.096,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
72,49.0,45.0,,BEL,p,,,male,0.022000000000000002,,0.057999999999999996,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
73,44.0,40.0,,BEL,p,,,male,0.04,,0.07,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
74,39.0,35.0,,BEL,p,,,male,0.019,,0.055999999999999994,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
75,34.0,30.0,,BEL,p,,,male,0.06,,0.13,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
76,29.0,25.0,,BEL,p,,,male,0.05,,0.091,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
77,24.0,20.0,,BEL,p,,,male,0.037000000000000005,,0.08,1.0,1.0,,-2.5989206346178704,2002.0,2001.0
78,84.0,80.0,,BEL,p,23.0,,male,-0.99,,0.0,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
79,79.0,75.0,,BEL,p,57.0,,male,-0.99,,0.0,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
80,74.0,70.0,,BEL,p,,,male,0.033,,0.057,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
81,69.0,65.0,,BEL,p,,,male,0.019,,0.027000000000000003,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
82,64.0,60.0,,BEL,p,,,male,0.013000000000000001,,0.016,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
83,59.0,55.0,,BEL,p,,,male,0.012,,0.02,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
84,54.0,50.0,,BEL,p,,,male,0.024,,0.048,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
85,49.0,45.0,,BEL,p,,,male,0.006999999999999999,,0.01,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
86,44.0,40.0,,BEL,p,,,male,0.017,,0.024,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
87,39.0,35.0,,BEL,p,,,male,0.012,,0.02,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
88,34.0,30.0,,BEL,p,,,male,0.061,,0.10300000000000001,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
89,29.0,25.0,,BEL,p,,,male,0.037000000000000005,,0.057999999999999996,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
90,24.0,20.0,,BEL,p,,,male,0.036000000000000004,,0.061,1.0,0.0,,-2.5989206346178704,2002.0,2001.0
91,99.0,18.0,,BRA,p,,,female,0.006999999999999999,,0.078,1.0,0.0,-4.029621537411595,-2.9288870039690083,1996.0,1994.0
92,99.0,18.0,,BRA,p,,,female,0.009000000000000001,,0.10400000000000001,1.0,1.0,-4.029621537411595,-2.9288870039690083,1996.0,1994.0
93,14.0,7.0,,BRA,p,,0.037000000000000005,female,-0.99,0.086,0.061,0.0,0.0,-2.482467432955829,-2.674054756628494,2001.0,2000.0
94,99.0,18.0,,BRA,p,,,male,0.008,,0.035,1.0,0.0,-4.029621537411595,-2.9288870039690083,1996.0,1994.0
95,99.0,18.0,,BRA,p,,,male,0.008,,0.04,1.0,1.0,-4.029621537411595,-2.9288870039690083,1996.0,1994.0
96,14.0,7.0,,BRA,p,,0.024,male,-0.99,0.064,0.044000000000000004,0.0,0.0,-2.482467432955829,-2.674054756628494,2001.0,2000.0
