,area,pop,sex,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year
33,AZE,4396.035171599995,female,0.0,0.0,-1.9996413576624248,-2.127113518260585,2005.0
34,AZE,4557.728959000001,male,0.0,0.0,-4.029621537411595,-2.269319235609905,2010.0
35,AZE,4657.580139499997,female,0.0,0.0,-4.029621537411595,-2.269319235609905,2010.0
36,GEO,2591.894461299999,male,0.0,0.0,-1.8271866224726085,-2.1157496689390407,1990.0
37,GEO,2859.6009473999993,female,0.0,0.0,-1.8271866224726085,-2.1157496689390407,1990.0
38,GEO,2127.5304993,male,0.0,0.0,-2.0189707575300284,-1.9240904700896833,2005.0
39,GEO,2383.3889962000017,female,0.0,0.0,-2.0189707575300284,-1.9240904700896833,2005.0
40,GEO,2051.4150389999995,male,0.0,0.0,-2.122475054135975,-1.7895159508249059,2010.0
41,GEO,2304.1048804000015,female,0.0,0.0,-2.122475054135975,-1.7895159508249059,2010.0
42,KAZ,8007.3483906999945,male,0.0,0.0,-1.963451814053509,-2.092856074685417,1990.0
43,KAZ,8510.901398899992,female,0.0,0.0,-1.963451814053509,-2.092856074685417,1990.0
44,KAZ,7282.781033199999,male,0.0,0.0,,-2.22814394507549,2005.0
45,KAZ,7940.950811999999,female,0.0,0.0,,-2.22814394507549,2005.0
46,KAZ,7660.5220837,male,0.0,0.0,-4.029621537411595,-2.3914515840846704,2010.0
47,KAZ,8297.035153400004,female,0.0,0.0,-4.029621537411595,-2.3914515840846704,2010.0
48,KGZ,2158.5602069000006,male,0.0,0.0,-1.94869918827986,-2.0611036548293047,1990.0
49,KGZ,2249.700722,female,0.0,0.0,-1.94869918827986,-2.0611036548293047,1990.0
50,KGZ,2508.159457099999,male,0.0,0.0,-4.029621537411595,-2.0948136428897115,2005.0
51,KGZ,2563.0768046000007,female,0.0,0.0,-4.029621537411595,-2.0948136428897115,2005.0
52,KGZ,2628.4733685,male,0.0,0.0,-1.837252379930108,-2.2659515547160742,2010.0
53,KGZ,2697.142622600001,female,0.0,0.0,-1.837252379930108,-2.2659515547160742,2010.0
54,MNG,1082.1606737000004,male,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
55,MNG,1107.7485214,female,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
56,MNG,1265.3977649,male,0.0,0.0,,-4.250428027039955,2005.0
57,MNG,1294.4337236000003,female,0.0,0.0,,-4.250428027039955,2005.0
58,MNG,1357.9080002999995,male,0.0,0.0,,-4.250428027039955,2010.0
59,MNG,1392.4584609000005,female,0.0,0.0,,-4.250428027039955,2010.0
60,TJK,2613.2744406,male,0.0,0.0,-2.1975435859244823,-2.232888559536747,1990.0
61,TJK,2645.2573819000017,female,0.0,0.0,-2.1975435859244823,-2.232888559536747,1990.0
62,TJK,3210.6554434000013,male,0.0,0.0,-2.1703817685352607,-1.7488217575610365,2005.0
63,TJK,3269.5590537000016,female,0.0,0.0,-2.1703817685352607,-1.7488217575610365,2005.0
64,TJK,3396.193480099999,male,0.0,0.0,-1.7556725612862798,-2.034311513728143,2010.0
65,TJK,3507.297580000001,female,0.0,0.0,-1.7556725612862798,-2.034311513728143,2010.0
66,TKM,1799.7716377,male,0.0,0.0,-2.3208962980169345,-2.211620742266352,1990.0
67,TKM,1850.028399600001,female,0.0,0.0,-2.3208962980169345,-2.211620742266352,1990.0
68,TKM,2347.364430600001,male,0.0,0.0,,-2.3838037964390764,2005.0
69,TKM,2409.8982327000012,female,0.0,0.0,,-2.3838037964390764,2005.0
70,TKM,2495.7689168999996,male,0.0,0.0,,,2010.0
71,TKM,2569.679244200001,female,0.0,0.0,,,2010.0
72,UZB,10154.9080069,male,0.0,0.0,-2.0110597012782754,-2.1610391706146874,1990.0
73,UZB,10384.680012900004,female,0.0,0.0,-2.0110597012782754,-2.1610391706146874,1990.0
74,UZB,12946.3835085,male,0.0,0.0,-2.322988088238571,-2.08276962156498,2005.0
75,UZB,13091.370690400006,female,0.0,0.0,-2.322988088238571,-2.08276962156498,2005.0
76,UZB,13659.930280699995,male,0.0,0.0,,-2.1359889334241267,2010.0
77,UZB,13820.697195799996,female,0.0,0.0,,-2.1359889334241267,2010.0
78,CHN,588954.0302004003,male,0.0,0.0,-4.029621537411595,-2.3707146327679824,1990.0
79,CHN,552619.8163469997,female,0.0,0.0,-4.029621537411595,-2.3707146327679824,1990.0
80,CHN,678630.3884500001,male,0.0,0.0,-4.029621537411595,-2.6627074968680025,2005.0
81,CHN,630234.8130199998,female,0.0,0.0,-4.029621537411595,-2.6627074968680025,2005.0
82,CHN,696449.8288400003,male,0.0,0.0,-2.999501355858705,-2.7385881491260275,2010.0
83,CHN,645489.2515400002,female,0.0,0.0,-2.999501355858705,-2.7385881491260275,2010.0
84,PRK,9884.714000900003,male,0.0,0.0,,-4.250428027039955,1990.0
85,PRK,10289.008091900001,female,0.0,0.0,,-4.250428027039955,1990.0
86,PRK,11661.207504600005,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
87,PRK,12117.675875699997,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
88,PRK,11952.585389799999,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
89,PRK,12409.551854599995,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
90,TWN,10563.033899,male,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
91,TWN,9807.552234399998,female,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
92,TWN,11605.715724100004,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
93,TWN,11226.7499847,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
94,TWN,11656.959409300007,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
95,TWN,11493.5163991,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
96,BGD,54143.19738380003,male,0.0,0.0,-2.1974964026864017,-2.3398912283308575,1990.0
97,BGD,51132.4519484,female,0.0,0.0,-2.1974964026864017,-2.3398912283308575,1990.0
98,BGD,71820.49790409998,male,0.0,0.0,-2.3704701534951202,-2.6799108716803266,2005.0
99,BGD,68705.51659130005,female,0.0,0.0,-2.3704701534951202,-2.6799108716803266,2005.0
100,BGD,75409.66750269999,male,0.0,0.0,-4.029621537411595,-2.6750667198527482,2010.0
101,BGD,73501.30590330003,female,0.0,0.0,-4.029621537411595,-2.6750667198527482,2010.0
102,BTN,286.13550519999984,male,0.0,0.0,,,1990.0
103,BTN,271.49023849999975,female,0.0,0.0,,,1990.0
104,BTN,346.2298341999999,male,0.0,0.0,,-4.250428027039955,2005.0
105,BTN,312.29310050000004,female,0.0,0.0,,-4.250428027039955,2005.0
106,BTN,384.44008460000015,male,0.0,0.0,,-4.250428027039955,2010.0
107,BTN,341.6708764,female,0.0,0.0,,-4.250428027039955,2010.0
108,IND,453992.4129800001,male,0.0,0.0,-1.919099570256401,-2.196092913120416,1990.0
109,IND,419427.2838499998,female,0.0,0.0,-1.919099570256401,-2.196092913120416,1990.0
110,IND,590469.8714030001,male,0.0,0.0,-2.097515121190581,-2.1821079131524423,2005.0
111,IND,550601.001185,female,0.0,0.0,-2.097515121190581,-2.1821079131524423,2005.0
112,IND,632645.8063069996,male,0.0,0.0,-2.1585073202846172,-2.2088171064483366,2010.0
113,IND,592503.6918540001,female,0.0,0.0,-2.1585073202846172,-2.2088171064483366,2010.0
114,NPL,9662.579872700004,male,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
115,NPL,9415.227923499999,female,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
116,NPL,13532.943229199998,male,0.0,0.0,-1.5535144049492227,-1.6517379873207252,2005.0
117,NPL,13734.2314972,female,0.0,0.0,-1.5535144049492227,-1.6517379873207252,2005.0
118,NPL,14862.388197899996,male,0.0,0.0,-2.2530625294010034,-1.6750645691178414,2010.0
119,NPL,15107.510846100002,female,0.0,0.0,-2.2530625294010034,-1.6750645691178414,2010.0
120,PAK,57702.105034000015,male,0.0,0.0,-2.125762153055689,-2.5828951186403333,1990.0
121,PAK,54214.363305099985,female,0.0,0.0,-2.125762153055689,-2.5828951186403333,1990.0
122,PAK,81331.27847350009,male,0.0,0.0,-2.340068420424266,-2.3622871357528803,2005.0
123,PAK,78012.35544910005,female,0.0,0.0,-2.340068420424266,-2.3622871357528803,2005.0
124,PAK,88242.56916779996,male,0.0,0.0,-1.6169066580870308,-1.8836782993637224,2010.0
125,PAK,85346.30111649999,female,0.0,0.0,-1.6169066580870308,-1.8836782993637224,2010.0
126,IDN,92178.5650411,male,0.0,0.0,-2.318631502588997,-1.7558557314476577,1990.0
127,IDN,92112.07889789999,female,0.0,0.0,-2.318631502588997,-1.7558557314476577,1990.0
128,IDN,113406.9156899,male,0.0,0.0,-2.1829482376111087,-2.1176076997770164,2005.0
129,IDN,113673.73564620005,female,0.0,0.0,-2.1829482376111087,-2.1176076997770164,2005.0
130,IDN,119677.16148190002,male,0.0,0.0,-2.6726316101724357,-2.241183340063423,2010.0
131,IDN,120292.31446290002,female,0.0,0.0,-2.6726316101724357,-2.241183340063423,2010.0
132,KHM,4585.302223799999,male,0.0,0.0,-1.5858600874290563,-1.2303166857946768,1990.0
133,KHM,5038.9141858,female,0.0,0.0,-1.5858600874290563,-1.2303166857946768,1990.0
134,KHM,6530.265622100002,male,0.0,0.0,-4.029621537411595,-1.8378579317343673,2005.0
135,KHM,6856.6972318,female,0.0,0.0,-4.029621537411595,-1.8378579317343673,2005.0
136,KHM,6931.7449582,male,0.0,0.0,-2.589762116354365,-2.7044966011613916,2010.0
137,KHM,7237.526800499997,female,0.0,0.0,-2.589762116354365,-2.7044966011613916,2010.0
138,LAO,2099.3570781999997,male,0.0,0.0,-1.7998517998770864,-1.7344386081277825,1990.0
139,LAO,2099.9527904999995,female,0.0,0.0,-1.7998517998770864,-1.7344386081277825,1990.0
140,LAO,2861.7578110000013,male,0.0,0.0,,-4.250428027039955,2005.0
141,LAO,2889.9404584000013,female,0.0,0.0,,-4.250428027039955,2005.0
142,LAO,3089.094255000002,male,0.0,0.0,,-2.1035895206869353,2010.0
143,LAO,3104.3549060000014,female,0.0,0.0,,-2.1035895206869353,2010.0
144,LKA,8763.714448,male,0.0,0.0,-1.3064378059580735,-1.5377063215083098,1990.0
145,LKA,8595.825908300003,female,0.0,0.0,-1.3064378059580735,-1.5377063215083098,1990.0
146,LKA,9838.348028800001,male,0.0,0.0,-1.8966088934373002,-1.543318570012659,2005.0
147,LKA,10015.4539481,female,0.0,0.0,-1.8966088934373002,-1.543318570012659,2005.0
148,LKA,10298.886311000004,male,0.0,0.0,-4.029621537411595,-1.4938833370297802,2010.0
149,LKA,10559.83404159999,female,0.0,0.0,-4.029621537411595,-1.4938833370297802,2010.0
150,MDV,113.57360620000011,male,0.0,0.0,,,1990.0
151,MDV,106.01086460000002,female,0.0,0.0,,,1990.0
152,MDV,149.44480940000005,male,0.0,0.0,,-2.0654667093863353,2005.0
153,MDV,145.85501909999994,female,0.0,0.0,,-2.0654667093863353,2005.0
